lat,lon,pop
34.1593861667,-117.97957,1.0
38.2768783333,-120.3057716667,1.0
41.1761506071,-123.9219282791,1.0
41.153923,-123.891029,1.0
34.1639446039,-118.006447367,1.0
34.1587195,-117.9842083333,1.0
34.1608195,-117.9791033333,1.0
34.1573416667,-117.9798583333,1.0
37.9581492039,-119.784482047,1.0
34.1557456425,-117.8327214456,1.0
34.1700966667,-116.558945,1.0
34.1561916667,-117.9781033333,1.0
34.1561471667,-117.97822,1.0
34.1562528333,-117.9781416667,1.0
34.156175,-117.9782633333,1.0
34.1809206564,-117.9882717133,1.0
34.1584888333,-117.9822533333,1.0
36.5897383333,-118.73791,1.0
34.242401123,-117.6471176147,1.0
34.1479087492,-117.8898323697,1.0
34.1585,-117.9839466667,1.0
35.1968872595,-120.4550457001,1.0
35.2451985129,-120.482468605,1.0
35.2421842834,-120.4770612717,1.0
34.1445317778,-116.51538975,1.0
34.219658,-118.133562,1.0
36.566968,-118.768195,1.0
39.1450558327,-123.0755102634,1.0
37.8775876,-119.3770242,1.0
39.6901929,-123.48142,1.0
39.6901929,-123.48142,1.0
39.6901929,-123.48142,1.0
36.4863668,-118.5657516,1.0
39.9234865,-123.0841777,1.0
36.6067624396,-118.7012554861,1.0
34.1566278333,-117.97812,1.0
34.156925,-117.97867,1.0
34.1561083333,-117.978225,1.0
34.1561055,-117.9780116667,1.0
37.73145675,-119.49729185,1.0
36.7667260903,-118.4683227539,1.0
34.1552932235,-118.0046431628,1.0
38.560582,-122.678012,1.0
34.156325,-117.978255,1.0
36.5498575085,-118.779708972,1.0
37.7275135046,-119.6148911288,1.0
36.7884904688,-118.5572011924,1.0
37.7455701,-119.5936038,1.0
34.5623666667,-120.1405721667,1.0
41.220305,-122.2730633333,1.0
36.5505644701,-118.7701816873,1.0
34.1563861667,-117.9780283333,1.0
34.1566195,-117.97792,1.0
34.1563945,-117.9780366667,1.0
34.1566195,-117.9784466667,1.0
34.173225723,-117.9907961575,1.0
37.7515794839,-119.7969866001,1.0
34.1561445,-117.9782466667,1.0
34.1700331203,-118.0446871897,1.0
34.1592166667,-117.9794216667,1.0
34.1458939128,-117.8358698201,1.0
34.1561888333,-117.9781716667,1.0
37.7366169017,-119.5997271201,1.0
34.156125,-117.9782866667,1.0
34.1561971667,-117.9782416667,1.0
34.1561186733,-117.9782103283,1.0
34.5103278,-119.2266437,1.0
34.16035,-118.01154445,1.0
36.7867920678,-118.6143794449,1.0
35.0624076745,-118.5702318588,1.0
34.2772240955,-117.3984661153,1.0
