lat,lon,pop
30.04718883,-81.57221167,1.0
30.1284618862,-103.4137268834,1.0
30.3694179159,-87.1423165942,1.0
30.3733966667,-86.2861633333,1.0
30.25245,-85.5523216667,1.0
30.1655253724,-84.702241747,1.0
30.3664616635,-84.44628539829999,3.0
30.2401025587,-84.0971921482,1.0
30.4823126525,-108.5996775283,1.0
30.4066038365,-108.2371362038,1.0
30.4227831918,-91.5034676414,1.0
30.47809048895,-87.0021635638,8.0
30.4565155491,-86.7728629629,4.0
30.5682770291,-86.4171190824,1.0
30.393846494866665,-84.58622666613333,3.0
30.40431586655,-84.088303250775,4.0
30.7709101556,-110.4627166397,1.0
30.8351274563,-91.9350051721,1.0
30.80354064785,-91.31743256035,2.0
30.8621107628,-88.1001650175,1.0
30.673477,-82.860311,1.0
30.77170816905,-82.40137662275,2.0
30.80539208614,-82.27222609002,5.0
30.9588967605,-110.6237740565,1.0
30.9087099653,-109.9541321831,1.0
30.8839950671,-109.8699990311,1.0
31.0171416338,-109.3960014772,1.0
30.9568546037,-104.0400103609,1.0
31.070161247,-91.7765327249,1.0
31.0870225828,-91.3858030392,1.0
30.970374204400002,-91.2738111229,2.0
30.8967313066,-88.1437944383,1.0
30.9035845289,-88.0497139839,1.0
31.33494068018,-110.67590350353998,5.0
31.29807745292,-110.30984057076,5.0
31.288300542960002,-108.95974744226001,5.0
31.1936783062,-85.199666756,1.0
31.4596577505,-111.2213943479,2.0
31.45436210614167,-110.73205090093334,12.0
31.463210368842855,-110.41054213869286,14.0
31.48753194376191,-110.31596728092381,21.0
31.4571495,-109.955882,2.0
31.451248481,-109.1686960542,2.0
31.49621384645,-109.06377396675,2.0
31.5661876844,-91.6816792523,1.0
31.4035980773,-88.1064813605,1.0
31.71929083035,-110.87889690779375,16.0
31.707495648586665,-110.81790234436,15.0
31.842346545999998,-110.603588636,5.0
31.82583099472,-110.35837611128,5.0
31.87177086668,-110.0352569,5.0
31.847477673183334,-109.25305407556665,6.0
31.866313473,-109.0150895253,1.0
31.8027172923,-104.8520136277,1.0
31.8101031374,-87.823079509,1.0
32.0201378037,-110.99493535845,2.0
32.01764389675,-110.64227809639999,4.0
31.980735441,-110.5301111425,2.0
31.88581098,-110.21671598,1.0
31.8965065,-110.02096616665,2.0
32.0093333333,-109.3845216667,1.0
31.90248681687308,-109.22916912588848,26.0
31.9035154,-109.1122767,1.0
31.9624659086,-104.6404879129,1.0
31.8961391729,-94.7293175221,1.0
31.914326057,-91.6492430404,1.0
32.2712642606,-110.71626294725,4.0
32.17132293513333,-110.5552742209,6.0
32.24604839355,-109.54947440945,2.0
32.1867501216,-109.2869991461,1.0
32.142820327,-104.770135047,1.0
32.310078751424996,-91.429974543,4.0
32.303880301727276,-91.29139290065454,11.0
32.3556030105,-83.8883731131,1.0
32.473411972554544,-110.79090912114545,11.0
32.38351218,-110.55208717,1.0
